freq,indic_de,geo\TIME_PERIOD	1960 	1961 	1962 	1963 	1964 	1965 	1966 	1967 	1968 	1969 	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,CNMIGRATRT,NL	-1.1 	0.5 	1.4 	-0.2 	1.1 	1.4 	1.5 	-1.0 	0.4 	1.5 	2.5 	2.5 	1.3 	1.4 	2.3 	5.1 	1.3 	1.5 	1.9 	3.1 	3.6 	1.0 	-0.1 	0.2 	0.3 	1.4 	1.8 	2.4 	1.9 	1.8 	3.3 	3.3 	2.8 	2.9 	1.3 	1.0 	1.4 	1.9 	2.8 	2.8 	3.6 	3.5 	1.7 	0.4 	-0.6 	-1.4 	-1.6 	-0.1 	1.9 	2.3 	2.0 	1.8 	0.8 	1.2 	2.1 	3.2 	4.6 	4.7 	5.0 	6.2 	3.9 	6.1 	12.6 	7.6 	6.0 p	: 
A,CNMIGRATRT,NO	-0.7 	0.2 	0.0 	0.1 	-0.6 	-0.5 	-0.2 	0.5 	0.4 	0.6 	-0.2 	0.7 	1.4 	0.9 	1.1 	0.8 	1.2 	1.2 	1.0 	0.7 	0.9 	1.4 	1.4 	1.0 	0.9 	1.6 	1.8 	3.3 	2.4 	-0.4 	0.4 	1.9 	2.4 	2.9 	1.7 	1.5 	1.3 	2.2 	3.0 	4.3 	2.2 	1.8 	3.8 	2.5 	2.9 	4.0 	5.1 	8.4 	9.1 	8.0 	8.6 	9.4 	9.4 	7.7 	7.4 	5.8 	5.0 	4.1 	3.4 	4.8 	2.1 	3.7 	10.6 	9.6 	6.2 	: 
A,CNMIGRATRT,PL	-4.4 	-2.1 	-0.3 	3.2 	2.3 	-3.3 	-1.2 	2.4 	-0.6 	-0.7 	-9.0 	-0.9 	-0.6 	-0.3 	-0.4 	-0.3 	-0.7 	-0.9 	-3.2 	-0.9 	-0.7 	-0.7 	-0.9 	-0.7 	-0.4 	-0.5 	-0.7 	-0.9 	-2.6 	-0.7 	-0.3 	-0.4 	-0.3 	-0.4 	-0.5 	-0.5 	-0.3 	-0.3 	-0.3 	-0.4 	-0.5 b	-0.4 	-0.5 	-0.4 	-0.2 	-0.3 	-0.9 	-0.5 	-0.4 	0.0 	0.1 b	-0.3 	-0.1 	-0.7 	-0.3 	-0.3 	0.3 	0.1 	0.6 e	0.5 bep	-20.3 be	0.1 b	0.2 	0.1 	0.9 	: 
A,CNMIGRATRT,PT	-6.3 	-4.3 	-8.2 	-10.1 	-14.8 	-19.5 	-20.4 	-16.3 	-15.6 	-23.8 	-14.0 	-14.1 	-8.3 	-9.7 	19.9 	38.2 	1.2 	2.0 	3.2 	3.8 	4.3 	0.8 	-0.2 	-1.2 	-0.5 	-1.9 	-2.7 	-3.8 	-3.5 	-4.1 	-3.9 	-3.3 	-0.9 	1.1 	2.4 	3.1 	3.7 	4.1 	4.5 	5.3 	6.5 	5.4 	4.0 	2.4 	1.4 	1.5 	1.6 	2.1 	0.9 	1.5 	0.4 	-0.7 	-3.5 	-3.4 	-2.5 	-0.3 	-0.1 	1.4 	2.3 	6.5 	5.6 	6.9 	13.0 	14.7 	13.4 	: 
A,CNMIGRATRT,RO	-0.9 	-2.2 	-0.4 	-0.9 	-0.7 	-0.6 	7.7 	1.3 	-9.1 	-0.2 	-0.6 	-0.2 	-0.4 	-0.6 	-0.6 	3.9 	0.0 	-0.8 	-0.5 	-4.9 	-0.8 	-0.6 	-0.8 	-0.9 	-1.0 	-0.9 	-0.8 	-0.9 	-0.8 	-1.0 	-3.7 	-17.6 	-1.2 	-0.8 	-0.7 	-0.9 	-0.9 	-0.6 	-0.3 	-0.1 	-0.2 	-25.2 	-6.8 	-2.4 	-4.5 	-4.0 	-4.1 	-21.9 	-8.0 	-5.4 	-2.4 	-2.4 	-1.1 	-0.7 	-1.0 	-2.5 	-3.2 	-3.0 	-2.9 	-1.3 e	-1.4 e	-0.9 e	5.6 e	5.1 e	3.7 ep	: 
A,CNMIGRATRT,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.0 	0.1 	-1.2 	-0.9 	0.6 	0.9 	2.4 	1.8 	0.6 	1.6 	0.5 	0.5 	0.3 	0.4 	0.7 	0.6 	0.3 b	0.0 	0.0 	0.3 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	-16.3 	0.0 	0.0 	: 
A,CNMIGRATRT,RU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.5 	3.6 	3.0 	1.9 	2.5 	2.0 	3.1 	-0.8 	0.7 	0.9 	1.1 	1.8 	1.8 	1.8 	8.3 	2.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CNMIGRATRT,SE	-0.1 	1.7 	1.1 	1.3 	2.8 	4.2 	3.3 	1.0 	1.1 	6.1 	5.8 	0.3 	-1.8 	-1.2 	1.2 	2.0 	2.4 	2.8 	1.7 	1.6 	1.2 	0.4 	0.3 	0.3 	1.0 	1.3 	1.8 	2.5 	3.5 	5.2 	4.1 	2.9 	2.3 	3.7 	5.8 	1.3 	0.7 	0.7 	1.2 	1.5 	2.7 	3.2 	3.5 	3.2 	2.8 	3.0 	5.6 	5.9 	6.0 	6.7 	5.3 	4.8 	5.4 	6.9 	7.9 	8.1 	11.9 	10.1 	8.5 	7.0 	3.5 	4.9 	5.6 	2.3 	2.7 	: 
A,CNMIGRATRT,SI	-2.7 	-2.8 	-2.9 	2.5 	-0.1 	4.4 	2.4 	3.6 	-0.4 	-0.6 	2.2 	1.3 	2.4 	1.3 	-3.8 	10.4 	6.0 	4.8 	3.9 	4.5 	2.9 	-8.7 	2.3 	2.0 	1.7 	1.8 	16.8 	1.4 	-1.9 	-2.4 	-0.1 	-1.6 	-2.7 	-2.2 	0.0 	0.4 	-1.7 	-0.7 	-2.7 	5.4 	1.4 	2.5 	1.1 	1.8 	0.9 	3.2 	3.1 	7.1 	9.2 b	5.6 	-0.3 	1.0 	0.3 	0.2 	-0.2 	0.2 	0.5 	0.6 	7.2 	7.8 	8.7 	1.2 	6.9 	5.4 	5.4 	: 
A,CNMIGRATRT,SK	34.4 	-1.3 	-1.6 	-2.2 	-1.9 	-1.6 	-1.2 	-1.5 	-1.1 	-0.7 	-7.7 	-1.1 	-0.7 	-0.6 	-0.6 	-0.7 	-0.5 	-0.4 	-0.7 	-0.8 	-2.3 	-0.8 	-0.7 	-0.8 	-0.8 	-0.6 	-0.8 	-0.7 	-0.7 	-0.5 	-0.4 	-7.3 	-0.6 	0.3 	0.9 	0.5 	0.4 	0.3 	0.2 	0.3 	-4.1 	0.2 	-0.6 	-0.5 	-0.2 	-0.1 	-0.1 	0.4 	0.4 	-0.1 	-0.9 	0.5 	0.6 	0.4 	0.3 	0.6 	0.7 	0.7 	0.7 	0.7 	0.8 	-1.5 	0.2 	0.3 	0.4 	: 
A,CNMIGRATRT,SM	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.6 	8.7 	9.7 	51.9 	-29.8 	: 	: 	43.2 	3.9 	-33.7 	6.9 	5.5 	5.5 	38.6 	4.2 	4.7 	: 	-29.4 	5.1 	: 	: 	: 
A,CNMIGRATRT,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.7 e	1.5 e	1.6 e	1.5 e	1.2 e	-46.8 b	0.0 	0.0 	0.1 	0.1 	0.1 	0.2 	-0.6 	0.4 	2.4 	3.9 	1.8 	0.3 	1.7 	1.0 	1.6 	2.3 	1.6 	4.6 be	4.9 be	: 	: 	0.8 	-4.0 	-1.8 	: 
A,CNMIGRATRT,UA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-3.2 	-2.3 	-2.6 	-1.6 	-1.6 	-1.1 	-1.1 	-0.5 	-0.2 	0.1 	0.3 	0.4 	0.3 	0.3 	0.4 	0.4 	1.4 	0.7 	: 	0.3 b	0.2 	0.3 	0.4 	0.5 	0.2 	: 	: 	: 	: 	: 
A,CNMIGRATRT,UK	1.6 	1.7 	3.0 	-0.7 	-0.1 	-1.4 	-0.5 	-1.1 	-0.7 	-0.9 	-0.3 	-0.4 	-0.2 	-0.7 	-1.2 	-0.8 	-0.2 	-0.4 	0.1 	0.3 	-0.6 	-1.6 	-1.4 	-0.1 	0.6 	1.0 	0.5 	-0.3 	0.0 	0.7 	0.4 	0.5 	-0.2 	0.6 	0.6 	1.1 	0.8 	1.0 	1.7 	2.3 	2.4 	2.9 	3.4 	3.5 	4.3 	4.9 	4.5 	4.9 	4.1 	3.8 	4.2 	3.4 	2.6 	3.8 	4.6 	5.4 	4.4 	4.2 	3.9 	4.0 p	: 	: 	: 	: 	: 	: 
A,NATGROW,AD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	533 	552 	583 	596 	638 	566 	589 	: 	434 	: 	: 	: 	324 	: 	208 	238 	: 	117 	131 	101 	: 	: 
A,NATGROW,AL	52911 	53007 	48846 	51321 	52788 	48961 	48658 	52696 	55655 	57834 	49733 	55016 	55530 	51722 	55022 	54392 	53085 	57045 	54375 	54634 	53699 	54179 	60711 	56346 	62559 	60356 	59066 	62577 	63214 	60694 	63932 	59618 	57399 	49810 	53837 	54021 	50758 	43502 	41889 	41228 	34821 	37392 	26279 	27346 	23240 	21774 	19209 	19920 	17519 	13686 	13954 	14273 	14603 	15308 	15104 	10297 	10345 	8637 	7130 	6624 	470 	-3296 	690 	2331 	1208 	: 
A,NATGROW,AM	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23198 	19944 	16156 	12415 	10251 	8062 	6675 	9779 	11841 	11120 	10437 	13275 	13773 	16853 	16904 	15377 	: 	14594 	15317 	13885 	12366 	10543 	10823 	9855 	183 	: 	9683 	12277 	8158 	: 
A,NATGROW,AT	36342 	45890 	42399 	43230 	44760 	35651 	37137 	31966 	30101 	22662 	13482 	11176 	8710 	5273 	3106 	-2284 	-7694 	-6807 	-9215 	-5624 	-1570 	1382 	3501 	-2923 	768 	-2138 	-107 	1682 	4789 	5352 	7502 	11201 	12140 	12710 	11731 	7498 	8019 	4613 	2894 	-62 	1488 	691 	2268 	-265 	4676 	3001 	3619 	1625 	2669 	-1037 	1543 	1630 	-484 	-196 	3470 	1308 	7006 	4363 	1560 	1566 	-7996 	-5884 	-10705 	-12155 	-11248 	: 
A,NATGROW,AZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	81005 	85090 	77697 	71244 	70293 	65072 	64193 	64466 	82041 	89939 	96698 	98308 	99376 	99625 	112063 	122310 	119452 	118288 	114855 	111513 	102816 	86932 	81732 	85263 	50924 	35406 	62036 	52470 	43401 	: 
A,NATGROW,BA	77139 	78663 	75739 	75079 	71301 	73537 	72551 	66777 	63103 	59882 	52941 	57779 	55224 	53224 	54172 	53273 	53883 	50848 	47290 	45750 	44813 	44809 	46600 	44297 	45493 	43756 	42076 	41516 	41156 	36426 	37859 	34089 	: 	: 	: 	: 	20269 	20186 	16328 	13827 	9081 	7392 	5654 	3477 	2342 	225 	812 	-1209 	150 	-354 	-1590 	-3647 	-3620 	-4978 	-5577 	: 	-6254 	-7178 	-8277 	: 	: 	: 	-14609 	-9496 p	-10997 p	: 
A,NATGROW,BE	39721 	51446 	42303 	42474 	50738 	40451 	35483 	30981 	20240 	21328 	23508 	22056 	18880 	11170 	7515 	268 	2393 	9180 	7204 	11815 	10700 	11466 	8370 	2583 	4964 	2480 	5771 	11908 	15202 	13568 	19646 	21775 	20574 	14024 	12735 	10645 	12167 	12362 	9664 	9266 	11493 	11925 	7454 	6966 	16039 	16344 	20942 	23437 	22618 	23344 	24948 	24413 	18975 	16272 	20259 	11733 	13799 	10024 	7626 	8912 	-12546 	6018 	-2329 	-526 	-2818 p	: 
A,NATGROW,BG	76417 	75299 	64508 	66086 	66479 	58821 	54673 	49886 	69284 	62877 	61650 	52617 	47142 	58243 	63957 	54694 	56581 	47340 	43997 	40955 	30240 	28931 	23873 	20811 	20884 	11470 	16039 	9459 	10055 	5387 	-3428 	-14513 	-18864 	-25140 	-32385 	-42703 	-44868 	-57736 	-52829 	-39496 	-41408 	-44188 	-46118 	-44568 	-40224 	-42299 	-39460 	-37655 	-32811 	-27112 	-34652 	-37412 	-40160 	-37767 	-41367 	-44167 	-42596 	-45836 	-46329 	-46545 	-65649 	-90317 	-62218 	-43809 	-47308 	: 
A,NATGROW,BY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-37624 	-47067 	-44651 	-49052 	-41176 	-48579 	-57912 	-54688 	-51121 	-51349 	-41705 	-29367 	-26003 	-25793 	-29082 	-25943 	-10638 	: 	-3008 	-998 	-1600 	-16755 	-26011 	-32868 	: 	: 	: 	: 	: 	: 
A,NATGROW,CH	42278 	48234 	49197 	53004 	59281 	56288 	53934 	52275 	47756 	44518 	42125 	38405 	34853 	30528 	28104 	22540 	17104 	17171 	13657 	14532 	14564 	13984 	15712 	12903 	16108 	15101 	16215 	16994 	19697 	20298 	20200 	23566 	24608 	21250 	20992 	18816 	20370 	17745 	16380 	15905 	15930 	11067 	10604 	8778 	12902 	11779 	13088 	13405 	15458 	15810 	17641 	18717 	17991 	17770 	21349 	18953 	22919 	20410 	20763 	18392 	9719 	18452 	7946 	8202 	6314 	: 
A,NATGROW,CY	: 	8853 	8686 	8523 	8018 	7646 	7259 	6817 	6445 	6100 	5803 	5658 	5577 	5553 	2988 	4076 b	5033 	4582 	5205 	5671 	5664 	5767 	6421 	6377 	6719 	5969 	6112 	5425 	5849 	5439 	5778 	5367 	6152 	5725 	5455 	4934 	4680 	4102 	3447 	3435 	3092 	3340 	2715 	2888 	3084 	2818 	3604 	3184 	4011 	4426 	4698 	4118 	4496 	4200 	3834 	3311 	3984 	3233 bep	3561 	3309 	3508 	3107 	2902 	3499 	3190 p	: 
A,NATGROW,CZ	35016 	36046 	29239 	48711 	52436 	42330 	35378 	29481 	22242 	22512 	24538 	31805 	44456 	57313 	67406 	67462 	62146 	55549 	51765 	44163 	18264 	14031 	10973 	2957 	4753 	4240 	771 	3677 	6973 	609 	1398 	5064 	1368 	2840 	-10794 	-21816 	-22336 	-22087 	-18992 	-20297 	-18091 	-17040 	-15457 	-17603 	-9513 	-5727 	1390 	9996 	14622 	10927 	10309 	1825 	387 	-2409 	4195 	-409 	4913 	2962 	1116 	-131 	-19089 	-28098 	-18920 	-21646 	-27900 	: 
A,NATGROW,DE	325667 	385126 	373733 	381054 	421309 	366700 	364024 	332113 	: 	: 	75965 	: 	: 	: 	: 	-148748 	: 	: 	: 	: 	-93460 	: 	: 	-124160 	-111961 	-118141 	-75927 	-45409 	-10257 	-16193 	13864 	-81226 b	-76329 	-98823 	-115058 	-119367 	-86830 	-48216 	-67348 	-75586 	-71798 	-94066 	-122436 	-147225 	-112649 	-144432 	-148903 	-142293 	-161925 	-189418 	-180821 	-189643 	-196038 	-211756 	-153429 	-187625 	-118761 	-147371 	-167351 	-161430 	-212428 	-228195 	-327522 	-335217 	-330641 	: 
A,NATGROW,DK	32396 	33129 	32474 	36640 	36545 	37912 	38988 	33574 	27253 	23355 	22569 	26501 	25060 	21369 	19690 	21176 	11266 	11393 	9172 	4810 	1354 	-3270 	-2710 	-6334 	-5309 	-4629 	-2788 	-1915 	-140 	1954 	2507 	4777 	6905 	4560 	8567 	6644 	6595 	7750 	7721 	7064 	9098 	7120 	5539 	7108 	8803 	9320 	9507 	8478 	10447 	7946 	9043 	6482 	5591 	3403 	5530 	5650 	8790 	8136 	6244 	7209 	6292 	6321 	-1005 	-915 	8 	: 
A,NATGROW,EE	7449 	7194 	6464 	6024 	6875 	5389 	4829 	4972 	5557 	5631 	6366 	7080 	6237 	5666 	6068 	4788 	4450 	4883 	4030 	3817 	4005 	4588 	5235 	5965 	5148 	4287 	6120 	6807 	6509 	5782 	2773 	-302 	-2088 	-6033 	-8036 	-7319 	-5778 	-5995 	-7278 	-6022 	-5336 	-5884 	-5354 	-5116 	-3693 	-2966 	-2439 	-1634 	-647 	-318 	35 	-565 	-1394 	-1713 	-1933 	-1336 	-1339 	-1759 	-1384 	-1302 	-2602 	-5315 	-5669 	-5053 	-6066 	: 
A,NATGROW,EL	96676 	86761 	85743 	81553 	83792 	84296 	86796 	90929 	87097 	82292 	70977 	67336 	64057 	59907 	67793 	62218 	64764 	60007 	64989 	65657 	60865 	54692 	50951 	42035 	37345 	23609 	21040 	10745 	15154 	8937 	8099 	7122 	5850 	4380 	5956 	1337 	-22 	2300 	-1774 	-2661 	-1952 	-277 	-346 	-1109 	713 	2454 	6566 	2031 	10323 	9617 	5682 	-4671 	-16297 	-17660 	-21591 	-29336 	-25890 	-35948 	-33856 	-41202 	-46283 	-58577 	-64000 	-55920 	-57604 p	: 
A,NATGROW,ES	397869 	395164 	384456 	392983 	427580 	406144 	397425 	403466 	387591 	366945 	380895 	368685 	391940 	376202 	393123 	371185 	378449 	362033 	340111 	310779 	281674 	239622 	229051 	182783 	173872 	143766 	128237 	116709 	99482 	83638 	68283 	58298 	65232 	46125 	31906 	17242 	11177 	19514 	4682 	9028 	37241 	47733 	51642 	58076 	83608 	79755 	111904 	107889 	134305 	110508 	105018 	84536 	52226 	35840 	32342 	-1976 	503 	-30772 	-54326 	-57355 	-151812 	-112326 	-133250 	-113590 	-118411 p	: 
